,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AAEO-ANFIS,27.3,10.263744172788236,0.9981916817359855,0.0008524494046854158,0.9910204081632653,0.009517328536652828,0.9951660325147008,0.0018611501050650175,0.9928170474511937,0.005935446394924075,0.9989755586028879,0.00046320122940621066,0.9988756815703381,0.0005980157511140208
AGTO-ANFIS,27.3,10.263744172788234,0.9981916817359855,0.0012055455093429605,0.988843537414966,0.013062484192213841,0.9954341058457281,0.0026015501496082266,0.9917158180572814,0.008231898031208853,0.9989863138931462,0.000654869223182995,0.9988418756815705,0.0008442191877140809
ANFIS,27.3,10.263744172788236,0.8645569620253164,0.05935674436093652,0.3616214156621268,0.2536996449759959,0.3789577568315462,0.20698344090559506,0.3183154970091938,0.22830688726695705,0.9074297893114116,0.042883912843177475,0.9107604564708961,0.05861530317717698
ARO-ANFIS,27.3,10.263744172788234,0.9978300180831827,0.0011436808897534443,0.9853061224489796,0.01442433554361747,0.9946817710134901,0.0021896635296775563,0.9893982440323903,0.008877541272998602,0.9987900298459305,0.0006098946638817856,0.9985899672846239,0.0008360446002476754
AVOA-ANFIS,27.3,10.263744172788234,0.9980108499095841,0.0013342943713790534,0.9831910946196661,0.015101208454893718,0.995319526115531,0.002762569405051389,0.9885016725434843,0.009495863264698336,0.9989112993771379,0.0007236225732929639,0.998692149168377,0.0009446271615803546
Adadelta-ANFIS,27.3,10.263744172788234,0.9795660036166366,0.011213841507051436,0.7301296882392299,0.16588921168725806,0.7799236855759253,0.1478953428712595,0.7516366467119288,0.1567540542726113,0.9860845199537198,0.008295843482065572,0.9896112449350818,0.0055029491372854305
Adam-ANFIS,27.3,10.263744172788234,0.9867992766726944,0.00968384024512665,0.8656608971832236,0.09122880639875877,0.874247665167762,0.08278353688037741,0.8647739699562667,0.09060951230369546,0.9915606210052685,0.005972089403649571,0.9931904998254717,0.004949009250364986
DT,27.3,10.263744172788234,0.9909584086799276,0.0,0.7777777777777778,0.0,0.8571428571428571,0.0,0.8021978021978022,0.0,0.9953617810760667,0.0,0.9954792043399638,0.0
GB,27.3,10.263744172788234,0.9945750452079565,0.0,0.9877551020408164,0.0,0.9690072639225182,0.0,0.9765093944198421,0.0,0.9965986394557824,0.0,0.9966666666666667,0.0
GBO-ANFIS,27.3,10.263744172788234,0.9985533453887884,0.0007624539265023466,0.9923809523809524,0.007886463535341209,0.9961864406779661,0.0021768000585054973,0.9940333920821726,0.004656092969780396,0.999182597940362,0.00043211199567402814,0.999093784078517,0.0004891110503271105
KNN,27.3,10.263744172788234,0.9981916817359855,0.0,0.9714285714285713,0.0,0.9975786924939467,0.0,0.982905982905983,0.0,0.9990723562152134,0.0,0.9985714285714286,0.0
MLP,27.3,10.263744172788234,0.9148282097649186,0.012827876623991975,0.3562478795473417,0.0516990733614254,0.3905614406779661,0.03825362297754766,0.3524045831831703,0.04260216900778906,0.9357430147492259,0.010525295658906217,0.9563071062030051,0.006539947409434118
QLE-SCA-ANFIS,27.3,10.263744172788234,0.9978300180831827,0.0007624539265022989,0.9890414347557204,0.00950016742811789,0.9944136976824629,0.0010209128846387155,0.9914065029047606,0.00571056970144461,0.9987755138376258,0.00039915568723933954,0.9986237731733916,0.0006023386019368819
RF,27.3,10.263744172788234,0.9884267631103073,0.0019438837247253938,0.8565627062916301,0.045648734357597205,0.8123469387755101,0.035888625338176196,0.8269258390532098,0.04004637483035435,0.9908674141593397,0.0015658805432873923,0.994161828539861,0.0009364183737032863
RIME-ANFIS,27.3,10.263744172788234,0.9981916817359855,0.0008524494046854042,0.9910204081632653,0.00951732853665282,0.9951660325147008,0.0018611501050649843,0.9928170474511937,0.005935446394924086,0.9989755586028879,0.00046320122940620524,0.9988756815703382,0.0005980157511140646
RMSprop-ANFIS,27.3,10.263744172788233,0.9846292947558771,0.008577606673151113,0.8436579873412884,0.09171962474198708,0.8922083621584227,0.07041573003802994,0.8650328942688204,0.08226121903542262,0.9906609056919617,0.005240679567675048,0.9917636330232769,0.004304418650305331
SMA-ANFIS,27.3,10.263744172788234,0.9987341772151899,0.0012205218041782182,0.9891836734693877,0.013347710021072892,0.9970284936008301,0.002832103765142574,0.9926230486509231,0.008358566656107864,0.9993070218864885,0.0006664819757100185,0.9991655947586704,0.0008338159111229262
SVM,27.3,10.263744172788234,0.9963833634719711,0.0,0.9646258503401361,0.0,0.9924766516776202,0.0,0.976824259751089,0.0,0.9980371595278428,0.0,0.9974809160305342,0.0
WOA-ANFIS,27.3,10.263744172788234,0.9985533453887884,0.0011436808897534875,0.9923809523809524,0.01026587487849138,0.9961864406779661,0.002735636141779839,0.9940333920821726,0.00669191033039825,0.999182597940362,0.0006325499134798913,0.999093784078517,0.000765130104608896
