model_name,seed,AS,PS,RS,F1S,SS,NPV
DT,10,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
SVM,15,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
DT,15,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
SVM,10,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
KNN,10,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
KNN,15,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
SVM,21,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
DT,21,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
RF,15,0.9873417721518987,0.841991341991342,0.7857142857142857,0.8015238095238095,0.9898989898989898,0.993647702508462
KNN,21,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
RF,10,0.9873417721518987,0.841991341991342,0.7857142857142857,0.8015238095238095,0.9898989898989898,0.993647702508462
SVM,24,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
DT,24,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
RF,21,0.9873417721518987,0.841991341991342,0.7857142857142857,0.8015238095238095,0.9898989898989898,0.993647702508462
KNN,24,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
SVM,27,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
RF,24,0.9891500904159132,0.843956043956044,0.8214285714285714,0.8298222514812376,0.9913419913419913,0.9945575453537886
MLP,15,0.9186256781193489,0.48462301587301587,0.4232142857142857,0.418245556287031,0.9378177378177378,0.9571066907775768
DT,27,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
MLP,10,0.9095840867992766,0.33600816527645794,0.37308673469387754,0.33982274388332845,0.9309420737992166,0.9533127109980636
MLP,21,0.9168173598553345,0.3337723741979061,0.39285714285714285,0.3513165354494529,0.9382601525458669,0.9574385237787252
KNN,27,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
SVM,29,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
DT,29,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
KNN,29,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
RF,27,0.9927667269439421,0.9862848365152512,0.9020408163265305,0.9342539152326925,0.994635798983625,0.9961445105005805
GB,15,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
RF,29,0.9855334538878842,0.8355526826115062,0.7928571428571428,0.8096202312792175,0.9890744176458462,0.9926527834490267
MLP,24,0.911392405063291,0.3319016783401612,0.37755102040816324,0.33919476374719343,0.9336219336219337,0.9545337122190648
GB,10,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
GB,21,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
SVM,30,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
DT,30,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
SVM,35,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
KNN,30,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
GB,24,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
MLP,27,0.8860759493670887,0.32177078782583374,0.30612244897959184,0.2547928262213976,0.9131106988249845,0.9424743430168385
DT,35,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
RF,30,0.9891500904159132,0.843956043956044,0.8214285714285714,0.8298222514812376,0.9913419913419913,0.9945575453537886
KNN,35,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
SVM,40,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
MLP,29,0.9276672694394213,0.32682926829268294,0.4261501210653753,0.3697566075881436,0.9474715760430046,0.9628580946035975
DT,40,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
RF,35,0.9891500904159132,0.843956043956044,0.8214285714285714,0.8298222514812376,0.9913419913419913,0.9945575453537886
GB,27,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
KNN,40,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
SVM,42,0.9963833634719711,0.964625850340136,0.9924766516776202,0.976824259751089,0.9980371595278428,0.9974809160305343
GB,29,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
RF,40,0.9873417721518987,0.841991341991342,0.7857142857142857,0.8015238095238095,0.9898989898989898,0.993647702508462
DT,42,0.9909584086799276,0.7777777777777778,0.8571428571428571,0.8021978021978021,0.9953617810760668,0.9954792043399638
KNN,42,0.9981916817359855,0.9714285714285714,0.9975786924939467,0.982905982905983,0.9990723562152134,0.9985714285714286
MLP,30,0.9077757685352622,0.3422684458398744,0.3692602040816327,0.34258695149385926,0.9282622139764997,0.952003730231534
GB,30,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
RF,42,0.9891500904159132,0.843956043956044,0.8214285714285714,0.8298222514812376,0.9913419913419913,0.9945575453537886
MLP,35,0.9132007233273055,0.33696705426356593,0.38265306122448983,0.34616204203026435,0.9341372912801484,0.9554880507890252
GB,35,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
MLP,40,0.9294755877034359,0.3367269975243397,0.42857142857142855,0.3757936350833932,0.9477474906046334,0.9647377938517179
MLP,42,0.9276672694394213,0.41161100803957945,0.4261479591836735,0.38637417004763946,0.9460589789782335,0.9631174117639076
GB,40,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
GB,42,0.9945750452079566,0.9877551020408164,0.9690072639225181,0.9765093944198421,0.9965986394557823,0.9966666666666667
ANFIS,21,0.8245931283905967,0.08362287063585765,0.28087167070217917,0.11978021978021977,0.8770235366874023,0.9063249158185868
ANFIS,10,0.7956600361663654,0.2837209302325581,0.21579038395019026,0.17867806622473875,0.8754601254601254,0.8763884264971356
ANFIS,27,0.9059674502712477,0.5637899592786811,0.5099619508820478,0.4934998775791614,0.936052596447189,0.9434934922053139
ANFIS,24,0.8227848101265823,0.1019969278033794,0.1479591836734694,0.08798828545587664,0.8592740592740593,0.9109199090007583
ANFIS,30,0.9312839059674503,0.5427905427905427,0.6158574022829472,0.5543088814652156,0.9566082174777827,0.9557068087748416
ANFIS,42,0.9095840867992766,0.5168592330246465,0.48316326530612247,0.41386799209884517,0.9431960192829758,0.9525207268571908
ANFIS,35,0.8209764918625678,0.05334538878842676,0.14285714285714285,0.07768268597761685,0.8571428571428571,0.7676311030741411
ANFIS,29,0.9439421338155516,0.688370506305289,0.6727105672777586,0.6753552374846308,0.9629683347074651,0.9665867964827044
ANFIS,40,0.9023508137432188,0.6430623355770128,0.5460718609477689,0.4843410557696272,0.9358517259138378,0.9391290376044379
ANFIS,15,0.7884267631103075,0.13865546218487393,0.17433414043583537,0.09765266825600587,0.8707204207204207,0.8889033483938508
Adam-ANFIS,10,0.9927667269439421,0.8459014104175395,0.8571428571428571,0.8514031423122332,0.9945372088229231,0.9963833634719711
Adam-ANFIS,15,1.0,1.0,1.0,1.0,1.0,1.0
Adam-ANFIS,21,0.9783001808318265,0.7925170068027211,0.8163265306122449,0.7983609384306247,0.986693228015844,0.9889462371528583
Adam-ANFIS,24,0.9927667269439421,0.8459014104175395,0.8571428571428571,0.8514031423122332,0.9945372088229231,0.9963833634719711
Adam-ANFIS,27,0.976491862567812,0.7568027210884354,0.8139052231061916,0.781833814760644,0.9857655842310573,0.9875116809256754
Adam-ANFIS,29,0.9801084990958409,0.8163265306122449,0.8520408163265306,0.8317561146829439,0.9876269348319038,0.9898678961390335
Adam-ANFIS,30,0.9801084990958409,0.8119164907342248,0.8520408163265306,0.8302667237198688,0.9876967063302468,0.9898509889678567
Adam-ANFIS,35,0.9963833634719711,0.987012987012987,0.9897959183673469,0.9879062736205594,0.9979296066252588,0.9978354978354977
Adam-ANFIS,40,0.9746835443037974,0.8094140882159316,0.7448979591836735,0.7424999163358365,0.9832979305028994,0.9871381418169225
Adam-ANFIS,42,0.9963833634719711,0.9908163265306122,0.9591836734693878,0.972309633387723,0.997521801869628,0.9979878284729307
RMSprop-ANFIS,15,0.9783001808318265,0.7755102040816327,0.8261501210653753,0.7921723921723922,0.9868068439497011,0.9886021934665695
