,seed,seed,AS,AS,PS,PS,RS,RS,F1S,F1S,SS,SS,NPV,NPV
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
model_name,,,,,,,,,,,,,,
AAEO-ANFIS,27.3,10.263744172788234,0.762962962962963,0.05295706318401778,0.6798823782569913,0.08782716778529184,0.6488095238095238,0.06496311723708294,0.6445134588180363,0.07168890113095021,0.816125541125541,0.038596748364308264,0.8220845512521254,0.04346614752339711
AGTO-ANFIS,27.3,10.263744172788234,0.7666666666666667,0.043822813208145274,0.6547577830666066,0.06710525152485536,0.6517857142857143,0.06764971079854096,0.6477778237960139,0.06703049775141617,0.8194805194805195,0.03535279912064332,0.8204330605049961,0.03333892358162378
ANFIS,27.3,10.263744172788234,0.888888888888889,0.05237828008789242,0.846624711288024,0.07457521628467098,0.8428571428571429,0.08423547960442472,0.8311471241584657,0.08113931687808831,0.9155844155844155,0.04195264577231357,0.9196328448998307,0.040020610339966775
ARO-ANFIS,27.3,10.263744172788234,0.7777777777777778,0.10067596561913636,0.7007566836901202,0.13748331569165043,0.6696428571428571,0.1550732013689562,0.6570319032545909,0.1579319466424815,0.8298701298701298,0.07547842474346236,0.8370502973156292,0.07759321786405958
AVOA-ANFIS,27.3,10.263744172788234,0.7481481481481481,0.09369711585684085,0.6495054869164776,0.1321429076802666,0.6226190476190476,0.1416449896714225,0.6065878849980264,0.1519976304878333,0.8066017316017315,0.07433392272536048,0.8127196620541477,0.06881638538164213
Adadelta-ANFIS,27.3,10.263744172788234,0.9962962962962962,0.007808092988070054,0.994074074074074,0.01297177830771723,0.9952380952380953,0.010038976698947197,0.9944206545964491,0.011916743490514794,0.9972943722943723,0.005755070755246675,0.9971014492753623,0.006110681468924438
Adam-ANFIS,27.3,10.263744172788234,0.9592592592592591,0.03469992425322271,0.9421665371665371,0.05521483036364362,0.9404761904761905,0.051587301587301605,0.9387195896243616,0.055504157374243565,0.968939393939394,0.024884192751156834,0.9696359439327955,0.025928982883146805
DT,27.3,10.263744172788234,0.962962962962963,0.0,0.9583333333333334,0.0,0.9345238095238096,0.0,0.94320987654321,0.0,0.9696969696969697,0.0,0.9740129935032483,0.0
GB,27.3,10.263744172788234,0.962962962962963,0.0,0.9539682539682539,0.0,0.9345238095238096,0.0,0.9424740010946907,0.0,0.9696969696969697,0.0,0.9733542319749218,0.0
GBO-ANFIS,27.3,10.263744172788234,0.7648148148148148,0.0419117165352295,0.6874843863853152,0.05753286180711691,0.6333333333333333,0.0693707091536894,0.6280538760994129,0.07119764449378367,0.8153679653679655,0.0311384197744748,0.8237816787726894,0.032953697669509556
KNN,27.3,10.263744172788234,0.962962962962963,0.0,0.9407407407407407,0.0,0.9523809523809523,0.0,0.9432568783481562,0.0,0.9729437229437231,0.0,0.9722222222222221,0.0
MLP,27.3,10.263744172788234,0.8574074074074074,0.12408789309445145,0.7858888442711972,0.20269045893141655,0.7880952380952381,0.16548618218092817,0.765068401790131,0.18310088361582336,0.8869047619047619,0.1003939800563193,0.9005360811799064,0.09789801720887872
QLE-SCA-ANFIS,27.3,10.263744172788234,0.7833333333333333,0.10069488789458193,0.7084671468881996,0.12953643775587656,0.6839285714285714,0.15697065480574263,0.6826104780952651,0.1520437859728297,0.8308441558441558,0.08157593913766663,0.829694100896257,0.08356471690785375
RF,27.3,10.263744172788234,0.9907407407407408,0.009760116235087563,0.9859259259259259,0.015790890820068616,0.9880952380952381,0.012548720873684,0.9864573160043072,0.014579434962501959,0.9930735930735931,0.007396702096025555,0.9927536231884059,0.007638351836155542
RIME-ANFIS,27.3,10.263744172788234,0.7462962962962962,0.05018636203500697,0.6438424224840633,0.08905199081608678,0.6023809523809524,0.07245731838922985,0.6095222835535219,0.07548624417698271,0.8015151515151515,0.039912100009581813,0.8049546018225581,0.0394532957872808
RMSprop-ANFIS,27.3,10.263744172788236,0.9962962962962962,0.007808092988070063,0.9925925925925926,0.015616185976140172,0.9952380952380953,0.0100389766989472,0.9936092955700799,0.01347278790098368,0.9976190476190476,0.005019488349473604,0.9971014492753623,0.006110681468924427
SMA-ANFIS,27.3,10.263744172788234,0.725925925925926,0.1106988235627649,0.615070309950341,0.1497142593408042,0.5833333333333333,0.1742194557025015,0.5815537712053884,0.16921910501744133,0.7874458874458875,0.08862748758782604,0.7875934707835244,0.08951842472642994
SVM,27.3,10.263744172788234,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
WOA-ANFIS,27.3,10.263744172788233,0.8407407407407407,0.12351850309413093,0.774058354499531,0.1747867688622016,0.7613095238095238,0.19192672718176051,0.7576809460053691,0.1857072964733144,0.8752164502164502,0.10042482728246557,0.8778043773964865,0.0990734310378729
